file_name,lm_file,lines,sent_base
file_aa,file_00,28874,0
file_ab,file_00,28875,28874
file_ac,file_00,28866,57749
file_ad,file_00,28871,86615
file_ae,file_00,28860,115486
file_af,file_00,28880,144346
file_ag,file_00,28875,173226
file_ah,file_00,28877,202101
file_ai,file_00,28879,230978
file_aj,file_00,28877,259857
file_ak,file_00,28870,288734
file_al,file_00,28871,317604
file_am,file_00,28869,346475
file_an,file_00,28880,375344
file_ao,file_00,28879,404224
file_ap,file_00,28873,433103
file_aq,file_00,28869,461976
file_ar,file_00,28868,490845
file_as,file_00,28873,519713
file_at,file_00,28875,548586
file_au,file_00,28879,577461
file_av,file_00,28863,606340
file_aw,file_00,28871,635203
file_ax,file_00,28867,664074
file_ay,file_00,28876,692941
file_az,file_00,28876,721817
file_ba,file_00,28884,750693
file_bb,file_00,28859,779577
file_bc,file_00,28878,808436
file_bd,file_00,28865,837314
file_be,file_00,28867,866179
file_bf,file_00,28876,895046
file_bg,file_00,28868,923922
file_bh,file_00,28881,952790
file_bi,file_00,28873,981671
file_bj,file_00,28866,1010544
file_bk,file_00,28864,1039410
file_bl,file_00,28869,1068274
file_bm,file_00,28873,1097143
file_bn,file_00,28870,1126016
file_bo,file_01,28869,0
file_bp,file_01,28869,28869
file_bq,file_01,28869,57738
file_br,file_01,28872,86607
file_bs,file_01,28867,115479
file_bt,file_01,28872,144346
file_bu,file_01,28875,173218
file_bv,file_01,28873,202093
file_bw,file_01,28862,230966
file_bx,file_01,28871,259828
file_by,file_01,28879,288699
file_bz,file_01,28872,317578
file_ca,file_01,28882,346450
file_cb,file_01,28875,375332
file_cc,file_01,28876,404207
file_cd,file_01,28877,433083
file_ce,file_01,28879,461960
file_cf,file_01,28879,490839
file_cg,file_01,28882,519718
file_ch,file_01,28877,548600
file_ci,file_01,28790,577477
file_cj,file_01,28863,606267
file_ck,file_01,28859,635130
file_cl,file_01,28880,663989
file_cm,file_01,28882,692869
file_cn,file_01,28863,721751
file_co,file_01,28884,750614
file_cp,file_01,28875,779498
file_cq,file_01,28868,808373
file_cr,file_01,28862,837241
file_cs,file_01,28871,866103
file_ct,file_01,28863,894974
file_cu,file_01,28875,923837
file_cv,file_01,28877,952712
file_cw,file_01,28872,981589
file_cx,file_01,28874,1010461
file_cy,file_01,28878,1039335
file_cz,file_01,28865,1068213
file_da,file_01,28874,1097078
file_db,file_01,28874,1125952
file_dc,file_02,28879,0
file_dd,file_02,28866,28879
file_de,file_02,28870,57745
file_df,file_02,28869,86615
file_dg,file_02,28871,115484
file_dh,file_02,28870,144355
file_di,file_02,28880,173225
file_dj,file_02,28869,202105
file_dk,file_02,28873,230974
file_dl,file_02,28868,259847
file_dm,file_02,28867,288715
file_dn,file_02,28873,317582
file_do,file_02,28876,346455
file_dp,file_02,28865,375331
file_dq,file_02,28876,404196
file_dr,file_02,28877,433072
file_ds,file_02,28873,461949
file_dt,file_02,28868,490822
file_du,file_02,28880,519690
file_dv,file_02,28877,548570
file_dw,file_02,28875,577447
file_dx,file_02,28870,606322
file_dy,file_02,28875,635192
file_dz,file_02,28874,664067
file_ea,file_02,28868,692941
file_eb,file_02,28873,721809
file_ec,file_02,28861,750682
file_ed,file_02,28879,779543
file_ee,file_02,28871,808422
file_ef,file_02,28867,837293
file_eg,file_02,28881,866160
file_eh,file_02,28878,895041
file_ei,file_02,28874,923919
file_ej,file_02,28871,952793
file_ek,file_02,28877,981664
file_el,file_02,28872,1010541
file_em,file_02,28865,1039413
file_en,file_02,28877,1068278
file_eo,file_02,28875,1097155
file_ep,file_02,28864,1126030
file_eq,file_03,28881,0
file_er,file_03,28875,28881
file_es,file_03,28876,57756
file_et,file_03,28868,86632
file_eu,file_03,28876,115500
file_ev,file_03,28883,144376
file_ew,file_03,28875,173259
file_ex,file_03,28873,202134
file_ey,file_03,28874,231007
file_ez,file_03,28874,259881
file_fa,file_03,28871,288755
file_fb,file_03,28866,317626
file_fc,file_03,28867,346492
file_fd,file_03,28869,375359
file_fe,file_03,28875,404228
file_ff,file_03,28877,433103
file_fg,file_03,28868,461980
file_fh,file_03,28865,490848
file_fi,file_03,28871,519713
file_fj,file_03,28873,548584
file_fk,file_03,28876,577457
file_fl,file_03,28876,606333
file_fm,file_03,28874,635209
file_fn,file_03,28873,664083
file_fo,file_03,28875,692956
file_fp,file_03,28873,721831
file_fq,file_03,28873,750704
file_fr,file_03,28879,779577
file_fs,file_03,28872,808456
file_ft,file_03,28869,837328
file_fu,file_03,28875,866197
file_fv,file_03,28866,895072
file_fw,file_03,28871,923938
file_fx,file_03,28874,952809
file_fy,file_03,28871,981683
file_fz,file_03,28872,1010554
file_ga,file_03,28874,1039426
file_gb,file_03,28879,1068300
file_gc,file_03,28872,1097179
file_gd,file_03,28868,1126051
file_ge,file_04,28873,0
file_gf,file_04,28875,28873
file_gg,file_04,28874,57748
file_gh,file_04,28882,86622
file_gi,file_04,28875,115504
file_gj,file_04,28864,144379
file_gk,file_04,28873,173243
file_gl,file_04,28874,202116
file_gm,file_04,28871,230990
file_gn,file_04,28865,259861
file_go,file_04,28871,288726
file_gp,file_04,28875,317597
file_gq,file_04,28875,346472
file_gr,file_04,28860,375347
file_gs,file_04,28863,404207
file_gt,file_04,28870,433070
file_gu,file_04,28874,461940
file_gv,file_04,28877,490814
file_gw,file_04,28877,519691
file_gx,file_04,28874,548568
file_gy,file_04,28875,577442
file_gz,file_04,28866,606317
file_ha,file_04,28873,635183
file_hb,file_04,28873,664056
file_hc,file_04,28869,692929
file_hd,file_04,28874,721798
file_he,file_04,28879,750672
file_hf,file_04,28880,779551
file_hg,file_04,28865,808431
file_hh,file_04,28880,837296
file_hi,file_04,28874,866176
file_hj,file_04,28871,895050
file_hk,file_04,28871,923921
file_hl,file_04,28874,952792
file_hm,file_04,28866,981666
file_hn,file_04,28870,1010532
file_ho,file_04,28862,1039402
file_hp,file_04,28875,1068264
file_hq,file_04,28875,1097139
file_hr,file_04,28883,1126014
file_hs,file_05,28873,0
file_ht,file_05,28874,28873
file_hu,file_05,28872,57747
file_hv,file_05,28861,86619
file_hw,file_05,28872,115480
file_hx,file_05,28876,144352
file_hy,file_05,28876,173228
file_hz,file_05,28873,202104
file_ia,file_05,28879,230977
file_ib,file_05,28871,259856
file_ic,file_05,28880,288727
file_id,file_05,28870,317607
file_ie,file_05,28868,346477
file_if,file_05,28870,375345
file_ig,file_05,28880,404215
file_ih,file_05,28875,433095
file_ii,file_05,28878,461970
file_ij,file_05,28870,490848
file_ik,file_05,28874,519718
file_il,file_05,28871,548592
file_im,file_05,28873,577463
file_in,file_05,28867,606336
file_io,file_05,28875,635203
file_ip,file_05,28869,664078
file_iq,file_05,28878,692947
file_ir,file_05,28864,721825
file_is,file_05,28874,750689
file_it,file_05,28874,779563
file_iu,file_05,28867,808437
file_iv,file_05,28879,837304
file_iw,file_05,28846,866183
file_ix,file_05,28877,895029
file_iy,file_05,28880,923906
file_iz,file_05,28872,952786
file_ja,file_05,28863,981658
file_jb,file_05,28870,1010521
file_jc,file_05,28875,1039391
file_jd,file_05,28874,1068266
file_je,file_05,28864,1097140
file_jf,file_05,28872,1126004
file_jg,file_06,28877,0
file_jh,file_06,28871,28877
file_ji,file_06,28880,57748
file_jj,file_06,28867,86628
file_jk,file_06,28870,115495
file_jl,file_06,28879,144365
file_jm,file_06,28878,173244
file_jn,file_06,28876,202122
file_jo,file_06,28875,230998
file_jp,file_06,28875,259873
file_jq,file_06,28875,288748
file_jr,file_06,28875,317623
file_js,file_06,28860,346498
file_jt,file_06,28880,375358
file_ju,file_06,28877,404238
file_jv,file_06,28874,433115
file_jw,file_06,28877,461989
file_jx,file_06,28850,490866
file_jy,file_06,28870,519716
file_jz,file_06,28872,548586
file_ka,file_06,28870,577458
file_kb,file_06,28880,606328
file_kc,file_06,28876,635208
file_kd,file_06,28866,664084
file_ke,file_06,28863,692950
file_kf,file_06,28876,721813
file_kg,file_06,28871,750689
file_kh,file_06,28870,779560
file_ki,file_06,28887,808430
file_kj,file_06,28866,837317
file_kk,file_06,28871,866183
file_kl,file_06,28873,895054
file_km,file_06,28874,923927
file_kn,file_06,28870,952801
file_ko,file_06,28876,981671
file_kp,file_06,28875,1010547
file_kq,file_06,28878,1039422
file_kr,file_06,28872,1068300
file_ks,file_06,28868,1097172
file_kt,file_06,28873,1126040
file_ku,file_07,28874,0
file_kv,file_07,28868,28874
file_kw,file_07,28870,57742
file_kx,file_07,28858,86612
file_ky,file_07,28871,115470
file_kz,file_07,28867,144341
file_la,file_07,28872,173208
file_lb,file_07,28870,202080
file_lc,file_07,28881,230950
file_ld,file_07,28872,259831
file_le,file_07,28874,288703
file_lf,file_07,28881,317577
file_lg,file_07,28871,346458
file_lh,file_07,28873,375329
file_li,file_07,28875,404202
file_lj,file_07,28866,433077
file_lk,file_07,28865,461943
file_ll,file_07,28875,490808
file_lm,file_07,28876,519683
file_ln,file_07,28868,548559
file_lo,file_07,28874,577427
file_lp,file_07,28867,606301
file_lq,file_07,28876,635168
file_lr,file_07,28871,664044
file_ls,file_07,28875,692915
file_lt,file_07,28874,721790
file_lu,file_07,28878,750664
file_lv,file_07,28869,779542
file_lw,file_07,28871,808411
file_lx,file_07,28877,837282
file_ly,file_07,28865,866159
file_lz,file_07,28866,895024
file_ma,file_07,28878,923890
file_mb,file_07,28870,952768
file_mc,file_07,28879,981638
file_md,file_07,28878,1010517
file_me,file_07,28878,1039395
file_mf,file_07,28871,1068273
file_mg,file_07,28864,1097144
file_mh,file_07,28866,1126008
file_mi,file_08,28875,0
file_mj,file_08,28878,28875
file_mk,file_08,28878,57753
file_ml,file_08,28875,86631
file_mm,file_08,28874,115506
file_mn,file_08,28877,144380
file_mo,file_08,28862,173257
file_mp,file_08,28872,202119
file_mq,file_08,28867,230991
file_mr,file_08,28874,259858
file_ms,file_08,28879,288732
file_mt,file_08,28867,317611
file_mu,file_08,28877,346478
file_mv,file_08,28870,375355
file_mw,file_08,28879,404225
file_mx,file_08,28858,433104
file_my,file_08,28876,461962
file_mz,file_08,28876,490838
file_na,file_08,28882,519714
file_nb,file_08,28874,548596
file_nc,file_08,28873,577470
file_nd,file_08,28880,606343
file_ne,file_08,28876,635223
file_nf,file_08,28871,664099
file_ng,file_08,28870,692970
file_nh,file_08,28879,721840
file_ni,file_08,28872,750719
file_nj,file_08,28878,779591
file_nk,file_08,28876,808469
file_nl,file_08,28876,837345
file_nm,file_08,28871,866221
file_nn,file_08,28882,895092
file_no,file_08,28878,923974
file_np,file_08,28874,952852
file_nq,file_08,28873,981726
file_nr,file_08,28865,1010599
file_ns,file_08,28872,1039464
file_nt,file_08,28881,1068336
file_nu,file_08,28877,1097217
file_nv,file_08,28879,1126094
file_nw,file_09,28860,0
file_nx,file_09,28879,28860
file_ny,file_09,28882,57739
file_nz,file_09,28877,86621
file_oa,file_09,28866,115498
file_ob,file_09,28864,144364
file_oc,file_09,28878,173228
file_od,file_09,28876,202106
file_oe,file_09,28873,230982
file_of,file_09,28881,259855
file_og,file_09,28873,288736
file_oh,file_09,28875,317609
file_oi,file_09,28872,346484
file_oj,file_09,28869,375356
file_ok,file_09,28864,404225
file_ol,file_09,28879,433089
file_om,file_09,28874,461968
file_on,file_09,28869,490842
file_oo,file_09,28870,519711
file_op,file_09,28868,548581
file_oq,file_09,28868,577449
file_or,file_09,28873,606317
file_os,file_09,28878,635190
file_ot,file_09,28876,664068
file_ou,file_09,28871,692944
file_ov,file_09,28867,721815
file_ow,file_09,28857,750682
file_ox,file_09,28875,779539
file_oy,file_09,28878,808414
file_oz,file_09,28876,837292
file_pa,file_09,28877,866168
file_pb,file_09,28866,895045
file_pc,file_09,28870,923911
file_pd,file_09,28852,952781
file_pe,file_09,28864,981633
file_pf,file_09,28866,1010497
file_pg,file_09,28876,1039363
file_ph,file_09,28876,1068239
file_pi,file_09,28872,1097115
file_pj,file_09,28821,1125987